gene_id,transcript_id,name,type
WBGene00224994,Bm4733,btub-1,B-Tubulin
WBGene00229959,Bm9698,btub-2,B-Tubulin
WBGene00228922,Bm8661,mec-7,B-Tubulin
WBGene00233027,Bm12766,tbb-4,B-Tubulin
WBGene00221971,Bm1710a,avr-14,GluCl
WBGene00223839,Bm3578,glc-2,GluCl
WBGene00228311,Bm8050,glc-3,GluCl
WBGene00222703,Bm2442,glc-4,GluCl
WBGene00225426,Bm5165,acr-12,Nicotinic
WBGene00222941,Bm2680a,acr-11,Nicotinic
WBGene00225941,Bm5680,unc-29,Nicotinic
WBGene00223751,Bm3490,unc-38.1,Nicotinic
WBGene00228955,Bm8694,unc-38.2,Nicotinic
WBGene00228275,Bm8014,unc-63.1,Nicotinic
WBGene00227537,Bm7276,unc-63.2,Nicotinic
WBGene00227660,Bm7399,acr-8,Nicotinic
WBGene00233847,Bm13586,acr-16,Nicotinic