x,y,text,xline,yline,xend,yend
-1.2,4.75,1,1,1,-1,4.5
-11,3.5,2-Muscle,,,,
8.15,-3.5,3,,,,
1,6.5,4,,,,
6.5,-1.5,5,,,,
-1.5,14.5,6-Coelomocyte,,,,
0.75,-4.75,7,,,,
9.5,3.5,8,,,,
5.75,3.75,9-Mesoderm,,,,
2.5,5.25,10,3,2,2.5,4.75
-4.75,-1.5,11-N,,,,
-1.5,-4.5,12-N,-1.5,-3.25,-1.5,-4.25
-0.85,-7.5,13-N,,,,
-6.4,-12.5,14-Canal,,,,
-4,5.5,15-Secretory,,,,
5.85,1,16,,,,
6.9,6,17-Mesoderm,,,,
-4.75,-3,18-N,-3.5,-3.5,-4.15,-3.15
-10,-1.25,19-Muscle,,,,
-2,-0.4,20,,,,
-4.5,1,21,,,,
7.4,-8.5,22-Inner body,,,,
-3.5,-7.25,23-N,,,,
-8.5,-7.75,24-N,,,,
-6,-5,25-N,,,,
-2.15,-5.5,26-N,-2.9,-4.25,-2.7,-5
2.25,-8.5,27-N,,,,